Treatment,Pop,GH.area,Mat.area,Dam,Plant_ID,SM_g,GR,FT,DTF,CW,ASD_S,ASD_L,ASD,SM.s,GR.s,CW.s,ASD.s,ORQFT,Index
Sel,MARY,DB,A3,221,221-3,0.035,0.6,165,69,42.84,-0.49,1.58,1.035,0.222642708,0.58488403,2.128001085,-1.526382332,-0.716697017,1.722971371
Sel,MARY,DB,A3,221,221-4,0.036,0.5,166,70,35.93,-0.64,0.87,0.755,0.396987693,-0.142053955,0.49993041,-2.228055169,-0.702364248,2.272555738
Sel,MARY,DB,A3,221,221-5,0.034,0.4,161,65,33.26,-1.03,2.31,1.67,0.048297722,-0.86899194,-0.129150444,0.064911422,-0.943658984,0.738940716
Sel,MARY,DB,A3,221,221-6,0.035,0.4,163,67,36.76,-1.2,1.63,1.415,0.222642708,-0.86899194,0.69548738,-0.574112054,-0.785920783,1.446285761
Sel,MARY,DB,A3,221,221-7,0.033,0.5,159,63,38.84,-0.94,1.92,1.43,-0.126047264,-0.142053955,1.185557858,-0.536522438,-1.208243346,1.158015164
Sel,MARY,DB,A3,221,221-8,0.035,0.6,161,65,35.37,-1.12,1.87,1.495,0.222642708,0.58488403,0.367988358,-0.373634101,-0.943658984,0.490226109
Sel,MARY,DB,A3,221,221-9,0.031,0.5,159,63,35.42,-2.03,1.08,1.555,-0.474737235,-0.142053955,0.379768899,-0.223275636,-1.208243346,0.565327174
Sel,HOFF,DB,A4,325,325-10,0.029,0.7,219,123,33.09,-1.38,1.61,1.495,-0.823427207,1.311822015,-0.169204281,-0.373634101,-0.169718362,-0.763697975
Sel,HOFF,DB,A4,325,325-6,0.035,0.6,237,141,34,-1.8,3,2.4,0.222642708,0.58488403,0.045201553,1.894272745,0.082788575,-1.63295536
Sel,HOFF,DB,A4,325,325-7,0.042,0.6,248,152,35.94,-1.95,1.99,1.97,1.443057608,0.58488403,0.502286518,0.816703746,0.259165277,-0.255276552
Sel,HOFF,DB,A4,325,325-8,0.037,0.6,251,155,36.38,-1.59,2.58,2.085,0.571332679,0.58488403,0.605955273,1.104890804,0.354484077,-0.849314246
Sel,HOFF,DB,A4,325,325-9,0.03,0.6,247,151,34.07,-1.59,2.58,2.085,-0.649082221,0.58488403,0.061694309,1.104890804,0.222937096,-1.470089838
Sel,HOFF,DB,A4,326,326-1,0.026,0.6,282,186,34.31,-0.41,2.46,1.435,-1.346462164,0.58488403,0.118240903,-0.523992566,1.24177622,-0.91334346
Sel,HOFF,DB,A4,326,326-10,0.024,0.6,250,154,26.66,-0.52,1.71,1.115,-1.695152136,0.58488403,-1.684181769,-1.325904379,0.321571605,-0.618045302
